8845%财智公馆%80471%2003-08-01%板楼%476户%紫竹桥长智路5号%1栋%物业良好%北京建房房地产开发公司%本小区7月活跃度为43.7,较上月活跃度上升,属于一般活跃小区%成熟板块%物业良好%非学区
7587%佳境天城%40515%2002-10-31%塔楼%304户%望京中环南路甲2号%1栋%物业优质%北京英大置业有限公司%本小区7月活跃度为18.67,较上月活跃度下降,属于不活跃小区%成熟板块%物业优质%二类优质学区
7781%雅园%10209%2010-01-01%板楼%null%西三村10号，红螺山庄南%null%物业良好%null%本小区7月活跃度为3.03,较上月活跃度持平,属于不活跃小区%待开发板块%物业良好%非学区
10031%京泽苑%92847%2001-01-01%板楼%90户%马连道甲16号%1栋%物业良好%null%本小区7月活跃度为3.75,较上月活跃度持平,属于不活跃小区%成熟板块%物业良好%二类优质学区
11323%夏威夷北岸%22637%2008-06-07%板楼,塔楼%null%东燕郊京哈公路北侧燕顺路以西%null%物业良好%兴达房地产开发有限公司%本小区7月活跃度为38.25,较上月活跃度持平,属于一般活跃小区%待开发板块%物业良好%非学区
3735%都会华庭%68723%2001-09-30%塔楼,板塔结合%1418户%十里堡甲3号院%7栋%物业良好%北京京港物业发展有限公司%本小区7月活跃度为86.71,较上月活跃度上升,属于热门小区%成熟板块%物业良好%二类优质学区
7685%玉泉路65号院%64887%2000-01-01%板楼%1149户%玉泉路65号院%17栋%物业一般%null%本小区7月活跃度为33.03,较上月活跃度上升,属于一般活跃小区%成熟板块%物业一般%非学区
5420%圆明园花园%70486%2000-01-01%板楼%740户%圆明园西路88号院%19栋%物业良好%北京圆明园花园别墅有限公司%本小区7月活跃度为34.5,较上月活跃度持平,属于一般活跃小区%成熟板块%物业良好%非学区
4519%清逸西园%45468%1998-03-04%板楼%1446户%旧宫东西大街与旧隆路交叉口西南角%19栋%物业一般%北京宣兴房地产股份有限公司%本小区7月活跃度为57.52,较上月活跃度上升,属于活跃小区%较成熟板块%物业一般%非学区
6214%枫露花园%30323%2000-01-01%板楼%420户%通州北关东1500米%6栋%物业良好%null%本小区7月活跃度为1.75,较上月活跃度下降,属于不活跃小区%较成熟板块%物业良好%非学区
3078%右安西里%70289%2001-01-01%板楼%332户%右安门内大街西侧%6栋%物业一般%null%本小区6月活跃度为0,较上月活跃度下降,属于不活跃小区%成熟板块%物业一般%二类优质学区
9093%锦顺佳园%66255%2007-01-01%板楼%309户%安宁庄西路与安宁庄西三条交叉口西250米%4栋%物业良好%实创集团房地产开发公司%本小区7月活跃度为8.24,较上月活跃度持平,属于不活跃小区%成熟板块%物业良好%二类优质学区
6035%三源里小区%71293%1992-01-01%板楼%1548户%三元桥东侧300米%16栋%物业一般%null%本小区7月活跃度为27.8,较上月活跃度下降,属于一般活跃小区%成熟板块%物业一般%非学区
1243%康鸿家园%70864%2005-01-01%板楼%144户%安定门外大街44号院%3栋%物业良好%null%本小区7月活跃度为3.25,较上月活跃度下降,属于不活跃小区%成熟板块%物业良好%二类优质学区
10326%太平路34号院%59181%1989-01-01%板楼%173户%公主坟太平路34号院%3栋%物业一般%null%本小区7月活跃度为9.74,较上月活跃度持平,属于不活跃小区%成熟板块%物业一般%普通学区
11950%西源里%25057%2000-01-01%板楼%198户%新中街北端西源里，紧邻沿湖小区南区%2栋%物业一般%null%本小区7月活跃度为12.23,较上月活跃度下降,属于不活跃小区%较成熟板块%物业一般%普通学区
11019%蒙顿卡雀%16196%2001-01-01%联排,独栋,双拼%1户%彩虹桥东九王庄南侧潮白河畔%1栋%物业良好%北京京顺房地产开发公司%本小区7月活跃度为19.01,较上月活跃度上升,属于不活跃小区%较成熟板块%物业良好%非学区
9429%道家村%57222%1993-06-01%板楼%168户%东四环红领巾桥西200米路北%3栋%物业待提高%null%本小区7月活跃度为2.75,较上月活跃度下降,属于不活跃小区%成熟板块%物业待提高%非学区
7421%云岗翠园%31731%2001-01-01%板楼%396户%云岗北环路，云岗森林公园南侧%9栋%物业一般%null%本小区7月活跃度为1.75,较上月活跃度持平,属于不活跃小区%待开发板块%物业一般%非学区
3207%清乐园%41184%1993-01-01%板楼%928户%旧宫万吉路北侧%9栋%物业待提高%null%本小区7月活跃度为23,较上月活跃度上升,属于不活跃小区%较成熟板块%物业待提高%非学区
8103%国典华园%94289%2005-01-01%板塔结合%1339户%朝阳区北三环安贞桥北400米安定路12号%7栋%物业良好%北京国电房地产开发有限公司%本小区7月活跃度为36.54,较上月活跃度上升,属于一般活跃小区%成熟板块%物业良好%普通学区
3194%鹿港嘉苑%90731%2005-01-01%板楼%1326户%望京西路50号院%10栋%物业良好%北京嘉轩房地产开发有限公司%本小区7月活跃度为55.09,较上月活跃度下降,属于活跃小区%成熟板块%物业良好%二类优质学区
13067%小马厂南里%70231%2000-01-01%板楼%294户%宣武区广外大街小马厂南里%5栋%物业一般%null%本小区7月活跃度为11.51,较上月活跃度上升,属于不活跃小区%成熟板块%物业一般%二类优质学区
8524%小营%58350%2000-01-01%塔楼%256户%小营西路23号院%2栋%物业良好%null%本小区7月活跃度为1,较上月活跃度持平,属于不活跃小区%成熟板块%物业良好%非学区
5411%逸翠园%95484%2006-05-01%板楼,板塔结合%890户%朝阳体育中心西路与姚家园北一路交叉点西南角%12栋%物业良好%和记黄埔地产（北京朝阳）有限公司%本小区7月活跃度为66.76,较上月活跃度上升,属于活跃小区%较成熟板块%物业良好%非学区
4920%景馨家园%53220%2001-01-01%板楼%490户%通州梨园妇幼保健院附近%2栋%物业良好%null%本小区7月活跃度为4.25,较上月活跃度下降,属于不活跃小区%成熟板块%物业良好%普通学区
13739%光明西里%74572%2000-01-01%板楼%381户%光明楼光明西里（光明西街旁）%7栋%物业良好%null%本小区7月活跃度为10.96,较上月活跃度上升,属于不活跃小区%成熟板块%物业良好%二类优质学区
